Current Path,Current Filename,Proposed Path,Proposed Filename,Page Using Image,Uses Count,Section,Subfolder,Cross-Section?,Is CDN?,WebP Candidate?,Status
/adarimages/residency/IMG_3066.jpeg,IMG_3066.jpeg,images/venues/img-3066.jpeg,img-3066.jpeg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_3276.jpeg,IMG_3276.jpeg,images/venues/img-3276.jpeg,img-3276.jpeg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_3514.JPG,IMG_3514.JPG,images/venues/img-3514.jpg,img-3514.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_3610.JPG,IMG_3610.JPG,images/venues/img-3610.jpg,img-3610.jpg,src/content/pages/en/headquarters.md,1,venues,,no,yes,yes,pending
/adarimages/residency/IMG_3684.JPG,IMG_3684.JPG,images/venues/img-3684.jpg,img-3684.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_3837.jpeg,IMG_3837.jpeg,images/venues/img-3837.jpeg,img-3837.jpeg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4385.JPG,IMG_4385.JPG,images/venues/img-4385.jpg,img-4385.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4388.JPG,IMG_4388.JPG,images/venues/img-4388.jpg,img-4388.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4393.JPG,IMG_4393.JPG,images/venues/img-4393.jpg,img-4393.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4394.JPG,IMG_4394.JPG,images/venues/img-4394.jpg,img-4394.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4399.JPG,IMG_4399.JPG,images/venues/img-4399.jpg,img-4399.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4401.JPG,IMG_4401.JPG,images/venues/img-4401.jpg,img-4401.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4402.JPG,IMG_4402.JPG,images/venues/img-4402.jpg,img-4402.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4403.JPG,IMG_4403.JPG,images/venues/img-4403.jpg,img-4403.jpg,src/content/pages/en/headquarters.md,1,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4405.JPG,IMG_4405.JPG,images/venues/img-4405.jpg,img-4405.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4406.JPG,IMG_4406.JPG,images/venues/img-4406.jpg,img-4406.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4409.JPG,IMG_4409.JPG,images/venues/img-4409.jpg,img-4409.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4421.JPG,IMG_4421.JPG,images/venues/img-4421.jpg,img-4421.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4426.JPG,IMG_4426.JPG,images/venues/img-4426.jpg,img-4426.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/residency/IMG_4856.JPG,IMG_4856.JPG,images/venues/img-4856.jpg,img-4856.jpg,src/content/pages/en/headquarters.md | src/content/pages/es/sedes.md,2,venues,,no,yes,yes,pending
/adarimages/ytcove.webp,ytcove.webp,images/about/ytcove.webp,ytcove.webp,src/content/pages/ast/que-ye-adar.md | src/content/pages/en/what-is-adar.md | src/content/pages/es/que-es-adar.md,5,about,,no,yes,no,pending
/content/v1/63c4788ca0121b1f39ebd01d/31fabed5-8d98-4b77-9051-462985dad504/IMG_5163.jpg,IMG_5163.jpg,images/open-call/img-5163.jpg,img-5163.jpg,src/content/pages/ast/concursu-dhorreos-y-paneres.md | src/content/pages/en/horreos-and-paneras-competition.md,2,open-call,,no,no,yes,pending
/zita-api/uploads/musician_zilvinas_604aebd0d0.webp,musician_zilvinas_604aebd0d0.webp,images/artists/musician-zilvinas-604aebd0d0.webp,musician-zilvinas-604aebd0d0.webp,src/content/pages/ast/artistes.md | src/content/pages/es/artistas.md,2,artists,,no,no,no,pending
/rastertiles/voyager/{z}/{x}/{y}{r}.png,{y}{r}.png,images/map/y-r.png,y-r.png,src/content/pages/ast/mapa-dacciones.md | src/content/pages/en/map-of-actions.md | src/content/pages/es/mapa-de-acciones.md,3,map,,no,no,yes,pending
